id,name,company,region,open_source,series,series_index,release_year,aliases,needs_review,notes,名称,属性,关系,变化
gpt-1,GPT-1,OpenAI,美国,False,GPT,0,2018,GPT-1,False,,这个模型的全称是 GPT-1，属于 GPT 系列,它由 OpenAI 开发，是闭源模型,它在 GPT 系列中，是该系列早期版本,它于 2018 年发布
gpt-2,GPT-2,OpenAI,美国,False,GPT,1,2019,GPT-2,False,,这个模型的全称是 GPT-2，属于 GPT 系列,它由 OpenAI 开发，是闭源模型,它在 GPT 系列中，前一代是 GPT-1,它于 2019 年发布
gpt-3,GPT-3,OpenAI,美国,False,GPT,2,2020,GPT-3,False,,这个模型的全称是 GPT-3，属于 GPT 系列,它由 OpenAI 开发，是闭源模型,它在 GPT 系列中，前一代是 GPT-2,它于 2020 年发布
gpt-3-5,GPT-3.5,OpenAI,美国,False,GPT,3,2022,GPT-3.5,False,,这个模型的全称是 GPT-3.5，属于 GPT 系列,它由 OpenAI 开发，是闭源模型,它在 GPT 系列中，前一代是 GPT-3,它于 2022 年发布
gpt-4,GPT-4,OpenAI,美国,False,GPT,4,2023,GPT-4,False,,这个模型的全称是 GPT-4，属于 GPT 系列,它由 OpenAI 开发，是闭源模型,它在 GPT 系列中，前一代是 GPT-3.5,它于 2023 年发布
gpt-4-turbo,GPT-4 Turbo,OpenAI,美国,False,GPT,5,2023,GPT-4 Turbo|GPT-4Turbo,False,,这个模型的全称是 GPT-4 Turbo，属于 GPT 系列，也常写作 GPT-4Turbo,它由 OpenAI 开发，是闭源模型,它在 GPT 系列中，前一代是 GPT-4,它于 2023 年发布
gpt-4o,GPT-4o,OpenAI,美国,False,GPT,6,2024,GPT-4o,False,,这个模型的全称是 GPT-4o，属于 GPT 系列,它由 OpenAI 开发，是闭源模型，多模态,它在 GPT 系列中，前一代是 GPT-4 Turbo,它于 2024 年发布
gpt-4o-mini,GPT-4o mini,OpenAI,美国,False,GPT,7,2024,GPT-4o mini|GPT-4omini,False,,这个模型的全称是 GPT-4o mini，属于 GPT 系列，也常写作 GPT-4omini,它由 OpenAI 开发，是闭源模型，轻量,它在 GPT 系列中，前一代是 GPT-4o,它于 2024 年发布
gpt-4-1,GPT-4.1,OpenAI,美国,False,GPT,8,2025,GPT-4.1,False,,这个模型的全称是 GPT-4.1，属于 GPT 系列,它由 OpenAI 开发，是闭源模型,它在 GPT 系列中，前一代是 GPT-4o mini,它于 2025 年发布
gpt-5,GPT-5,OpenAI,美国,False,GPT,9,2025,GPT-5,False,,这个模型的全称是 GPT-5，属于 GPT 系列,它由 OpenAI 开发，是闭源模型，前沿旗舰,它在 GPT 系列中，前一代是 GPT-4.1,它于 2025 年发布
gpt-5-1,GPT-5.1,OpenAI,美国,False,GPT,10,2025,GPT-5.1,False,,这个模型的全称是 GPT-5.1，属于 GPT 系列,它由 OpenAI 开发，是闭源模型,它在 GPT 系列中，前一代是 GPT-5,它于 2025 年发布
gpt-5-2,GPT-5.2,OpenAI,美国,False,GPT,11,2025,GPT-5.2,False,,这个模型的全称是 GPT-5.2，属于 GPT 系列,它由 OpenAI 开发，是闭源模型，前沿闭源旗舰,它在 GPT 系列中，前一代是 GPT-5.1,它于 2025 年发布
gpt-5-4,GPT-5.4,OpenAI,美国,False,GPT,12,2026,GPT-5.4,False,,这个模型的全称是 GPT-5.4，属于 GPT 系列,它由 OpenAI 开发，是闭源模型，旗舰，1M上下文,它在 GPT 系列中，前一代是 GPT-5.2,它于 2026 年发布
o1,o1,OpenAI,美国,False,o 推理,0,2024,o1,False,,这个模型的全称是 o1，属于 o 推理 系列,它由 OpenAI 开发，是闭源模型，推理,它在 o 推理 系列中，是该系列早期版本,它于 2024 年发布
